"DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","HPM","APM","HB","AB","WIN"
"1",20141028,"LAL",90,25,69,3,10,31,39,11,25,16,7,11,3,32,"HOU",108,19,44,12,29,34,50,14,33,22,7,13,3,30,"0.354430379746835","0.424657534246575","0.636363636363636","0.538461538461538","Away"
"2",20141028,"NOP",101,37,84,4,17,15,31,26,36,20,10,9,17,17,"ORL",84,28,73,4,11,16,21,16,40,17,5,18,9,25,"0.405940594059406","0.380952380952381","1.11111111111111","0.277777777777778","Home"
"3",20141028,"SAS",101,23,42,14,28,13,16,9,29,23,5,20,3,20,"DAL",100,30,57,8,21,16,19,9,24,17,9,10,3,20,"0.528571428571429","0.487179487179487","0.25","0.9","Home"
"4",20141029,"BOS",121,41,66,8,22,15,23,9,26,28,11,12,5,25,"BKN",105,32,61,7,19,20,26,9,30,20,6,20,7,21,"0.556818181818182","0.4875","0.916666666666667","0.3","Home"
"5",20141029,"CHA",108,35,80,6,21,20,29,15,35,27,8,10,9,20,"MIL",106,32,66,7,14,21,24,3,32,25,9,14,10,25,"0.405940594059406","0.4875","0.8","0.642857142857143","Home"
"6",20141029,"DEN",89,24,61,6,24,23,31,14,37,17,7,15,4,21,"DET",79,25,58,6,26,11,19,8,37,15,4,15,5,27,"0.352941176470588","0.369047619047619","0.466666666666667","0.266666666666667","Home"
"7",20141029,"IND",103,30,56,8,25,19,28,14,36,22,5,17,13,24,"PHI",91,28,68,6,21,17,30,15,27,17,10,11,5,29,"0.469135802469136","0.382022471910112","0.294117647058824","0.909090909090909","Home"
"8",20141029,"MEM",105,39,67,4,15,15,20,10,23,21,10,17,5,21,"MIN",101,33,74,6,12,17,23,19,28,20,8,23,4,21,"0.524390243902439","0.453488372093023","0.588235294117647","0.347826086956522","Home"
"9",20141029,"MIA",107,30,53,9,28,20,23,12,32,20,9,14,3,17,"WAS",95,30,56,6,19,17,24,7,29,20,7,14,2,20,"0.481481481481481","0.48","0.642857142857143","0.5","Home"
"10",20141029,"NYK",80,28,68,3,17,15,17,14,24,19,9,11,5,22,"CHI",104,29,47,7,24,25,30,10,37,21,9,15,4,18,"0.364705882352941","0.507042253521127","0.818181818181818","0.6","Away"
"11",20141029,"PHX",119,29,50,16,32,13,18,9,31,23,5,14,3,25,"LAL",99,33,73,4,13,21,25,12,26,20,9,13,3,18,"0.548780487804878","0.430232558139535","0.357142857142857","0.692307692307692","Home"
"12",20141029,"POR",106,28,58,11,29,17,22,13,29,23,4,10,9,19,"OKC",89,31,65,2,16,21,26,14,29,19,9,13,5,28,"0.448275862068966","0.407407407407407","0.4","0.692307692307692","Home"
"13",20141029,"SAC",77,21,60,3,18,26,35,15,35,13,11,26,3,26,"GSW",95,27,48,6,27,23,32,7,37,21,12,22,8,32,"0.307692307692308","0.44","0.423076923076923","0.545454545454545","Away"
"14",20141029,"TOR",109,29,64,8,26,27,33,16,32,26,13,9,9,22,"ATL",102,27,58,13,22,9,17,10,32,26,6,17,8,24,"0.411111111111111","0.5","1.44444444444444","0.352941176470588","Home"
"15",20141029,"UTA",93,35,63,3,18,14,17,13,21,16,8,13,6,16,"HOU",104,26,50,14,27,10,14,8,27,18,7,18,6,23,"0.469135802469136","0.519480519480519","0.615384615384615","0.388888888888889","Away"
"16",20141030,"CLE",90,23,46,9,24,17,20,11,22,22,5,19,2,15,"NYK",95,31,57,6,12,15,18,9,26,30,9,15,1,26,"0.457142857142857","0.536231884057971","0.263157894736842","0.6","Away"
"17",20141030,"DAL",120,39,64,8,21,18,23,13,31,25,8,9,5,15,"UTA",102,22,48,14,35,16,18,15,25,22,6,16,0,21,"0.552941176470588","0.433734939759036","0.888888888888889","0.375","Home"
"18",20141030,"LAC",93,27,57,7,30,18,25,14,19,17,10,11,4,27,"OKC",90,22,44,6,21,28,34,8,39,23,5,22,2,27,"0.390804597701149","0.430769230769231","0.909090909090909","0.227272727272727","Home"
"19",20141030,"MIN",97,33,66,4,10,19,28,10,33,18,8,12,3,21,"DET",91,31,70,7,21,8,13,14,32,20,3,12,5,24,"0.486842105263158","0.417582417582418","0.666666666666667","0.25","Home"
"20",20141030,"ORL",98,31,57,6,15,18,24,3,30,20,4,18,1,23,"WAS",105,32,67,7,13,20,26,6,31,22,10,12,0,25,"0.513888888888889","0.4875","0.222222222222222","0.833333333333333","Away"
"21",20141031,"CHI",108,28,59,13,31,13,17,11,31,25,4,19,14,28,"CLE",114,38,89,3,15,29,33,20,32,18,8,9,4,18,"0.455555555555556","0.394230769230769","0.210526315789474","0.888888888888889","Away"
"22",20141031,"IND",89,26,53,8,21,13,16,11,35,19,5,18,3,15,"MEM",97,28,60,7,19,20,27,11,29,20,11,9,2,21,"0.459459459459459","0.443037974683544","0.277777777777778","1.22222222222222","Away"
"23",20141031,"LAL",111,35,62,7,20,20,28,9,31,24,5,14,2,35,"LAC",118,22,38,12,33,38,44,6,30,25,6,14,2,26,"0.51219512195122","0.47887323943662","0.357142857142857","0.428571428571429","Away"
"24",20141031,"MIL",93,27,64,9,24,12,21,15,40,25,10,18,11,19,"PHI",81,27,63,5,23,12,22,12,30,20,9,16,5,18,"0.409090909090909","0.372093023255814","0.555555555555556","0.5625","Home"
"25",20141031,"PHX",94,33,69,2,18,22,26,12,38,15,2,7,5,21,"SAS",89,24,53,8,25,17,23,5,40,20,3,12,3,25,"0.402298850574713","0.41025641025641","0.285714285714286","0.25","Home"
"26",20141031,"SAC",103,30,71,4,10,31,35,14,35,14,6,10,2,24,"POR",94,25,57,9,26,17,19,10,28,20,5,10,8,26,"0.419753086419753","0.409638554216867","0.6","0.5","Home"
"27",20141101,"ATL",102,28,49,7,20,25,33,3,34,26,10,12,6,20,"IND",92,19,49,12,32,18,21,11,33,25,5,18,5,26,"0.507246376811594","0.382716049382716","0.833333333333333","0.277777777777778","Home"
"28",20141101,"CHA",69,22,58,4,14,13,18,5,39,17,10,20,4,16,"MEM",71,26,69,3,11,10,13,9,36,16,8,18,0,22,"0.361111111111111","0.3625","0.5","0.444444444444444","Away"
"29",20141101,"DET",90,31,59,1,17,25,35,10,31,21,3,7,3,15,"BKN",102,35,61,7,26,11,13,12,36,18,3,8,3,23,"0.421052631578947","0.482758620689655","0.428571428571429","0.375","Away"
"30",20141101,"GSW",127,35,60,11,23,24,28,12,31,30,10,20,4,26,"LAL",104,37,74,4,14,18,25,17,20,21,9,22,3,27,"0.55421686746988","0.465909090909091","0.5","0.409090909090909","Home"
"31",20141101,"HOU",104,20,42,12,34,28,40,10,39,20,9,17,8,24,"BOS",90,36,73,1,25,15,18,14,30,20,10,10,8,26,"0.421052631578947","0.377551020408163","0.529411764705882","1","Home"
"32",20141101,"MIN",105,34,73,4,12,25,31,13,29,26,9,10,4,29,"CHI",106,24,46,9,23,31,40,5,33,15,3,14,8,24,"0.447058823529412","0.478260869565217","0.9","0.214285714285714","Away"
"33",20141101,"NOP",104,31,70,7,19,21,28,14,33,24,8,13,4,19,"DAL",109,40,64,6,25,11,19,11,33,25,4,12,6,25,"0.426966292134831","0.51685393258427","0.615384615384615","0.333333333333333","Away"
"34",20141101,"OKC",102,31,60,6,20,22,31,6,35,24,8,13,6,20,"DEN",91,28,54,7,26,14,20,11,30,19,4,17,10,26,"0.4625","0.4375","0.615384615384615","0.235294117647059","Home"
"35",20141101,"ORL",95,31,61,7,20,12,24,9,31,25,3,14,7,37,"TOR",108,29,62,4,21,38,48,15,35,13,4,7,4,21,"0.469135802469136","0.397590361445783","0.214285714285714","0.571428571428571","Away"
"36",20141101,"PHI",96,28,44,7,23,19,26,4,33,28,9,24,10,21,"MIA",114,29,59,12,24,20,29,9,26,33,16,16,0,20,"0.522388059701492","0.493975903614458","0.375","1","Away"
"37",20141101,"UTA",118,35,62,7,26,27,33,13,39,19,10,13,6,15,"PHX",91,29,56,7,31,12,15,6,28,17,8,11,7,22,"0.477272727272727","0.413793103448276","0.769230769230769","0.727272727272727","Home"
"38",20141101,"WAS",108,36,60,4,13,24,33,6,28,28,18,19,5,21,"MIL",97,25,58,9,22,20,24,16,26,18,11,27,3,28,"0.547945205479452","0.425","0.947368421052632","0.407407407407407","Home"
"39",20141102,"LAC",92,24,57,9,31,17,21,11,24,23,10,8,7,25,"SAC",98,31,58,3,10,27,33,9,37,21,4,19,11,22,"0.375","0.5","1.25","0.210526315789474","Away"
"40",20141102,"MIA",107,26,46,9,24,28,38,11,32,22,6,16,6,29,"TOR",102,33,63,4,16,24,39,9,19,11,8,10,5,28,"0.5","0.468354430379747","0.375","0.8","Home"
"41",20141102,"NYK",96,31,62,8,16,10,17,8,27,23,5,12,0,26,"CHA",93,27,55,6,15,21,29,8,30,20,7,12,2,16,"0.5","0.471428571428571","0.416666666666667","0.583333333333333","Home"
"42",20141102,"POR",90,30,65,7,27,9,14,17,39,20,9,19,2,19,"GSW",95,30,62,6,19,17,21,7,34,22,11,17,7,16,"0.402173913043478","0.444444444444444","0.473684210526316","0.647058823529412","Away"
"43",20141103,"BKN",116,33,61,11,23,17,19,9,33,25,11,8,3,21,"OKC",85,24,59,8,23,13,21,15,29,14,3,17,3,17,"0.523809523809524","0.390243902439024","1.375","0.176470588235294","Home"
"44",20141103,"DAL",118,30,57,14,25,16,20,7,29,24,5,17,9,17,"BOS",113,34,71,11,31,12,16,22,27,29,9,17,6,21,"0.536585365853659","0.441176470588235","0.294117647058824","0.529411764705882","Home"
"45",20141103,"DEN",105,31,69,5,24,28,33,15,27,22,4,15,7,35,"SAC",110,32,72,2,9,40,47,14,36,21,8,15,5,28,"0.387096774193548","0.419753086419753","0.266666666666667","0.533333333333333","Away"
"46",20141103,"LAC",107,31,58,10,23,15,17,5,30,28,6,10,6,17,"UTA",101,26,50,10,27,19,24,9,34,24,4,17,2,20,"0.506172839506173","0.467532467532468","0.6","0.235294117647059","Home"
"47",20141103,"MEM",93,27,62,4,14,27,37,9,43,19,5,11,6,24,"NOP",81,25,62,4,24,19,29,14,35,14,5,12,3,30,"0.407894736842105","0.337209302325581","0.454545454545455","0.416666666666667","Home"
